condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
ratio_5pct,ratio_sweep,1685,adventurousness,0.05,100,5,False,5,1000,,,0.39538,0.0,-0.39538,0,0,True,3960,380,147,0,100.0,0,0,268,97
ratio_5pct,ratio_sweep,1822,adventurousness,0.05,100,5,False,5,1000,,,0.2827,0.0,-0.2827,0,0,True,993,360,135,0,100.0,0,0,288,125
ratio_5pct,ratio_sweep,1959,adventurousness,0.05,100,5,False,5,1000,,,0.40269999999999995,0.0,-0.40269999999999995,0,0,True,1760,580,310,0,100.0,0,0,318,142
ratio_5pct,ratio_sweep,2096,adventurousness,0.05,100,5,False,5,1000,,,0.1356,0.0,-0.1356,0,0,True,1660,520,103,0,100.0,0,0,299,123
ratio_5pct,ratio_sweep,2233,adventurousness,0.05,100,5,False,5,1000,,,0.13782,0.0,-0.13782,0,0,True,1672,540,52,0,100.0,0,0,287,113
ratio_5pct,ratio_sweep,2370,adventurousness,0.05,100,5,False,5,1000,,,0.24778000000000003,0.0,-0.24778000000000003,0,0,True,2000,600,148,0,100.0,0,0,325,151
ratio_5pct,ratio_sweep,2507,adventurousness,0.05,100,5,False,5,1000,,,0.1326,0.0,-0.1326,0,0,True,1880,720,50,0,100.0,0,0,325,150
ratio_5pct,ratio_sweep,2644,adventurousness,0.05,100,5,False,5,1000,,,0.23815999999999998,0.0,-0.23815999999999998,0,0,True,2580,500,99,0,100.0,0,0,277,109
ratio_5pct,ratio_sweep,2781,adventurousness,0.05,100,5,False,5,1000,,,0.25398,0.0,-0.25398,0,0,True,2846,500,100,0,100.0,0,0,279,104
ratio_5pct,ratio_sweep,2918,adventurousness,0.05,100,5,False,5,1000,,,0.13455999999999999,0.0,-0.13455999999999999,0,0,True,1500,410,152,0,100.0,0,0,272,101
ratio_5pct,ratio_sweep,3055,adventurousness,0.05,100,5,False,5,1000,,,0.15808,0.0,-0.15808,0,0,True,1829,470,50,0,100.0,0,0,287,124
